개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명
3030000,3030000-101-2023-00009,2023-01-03,,1,영업/정상,1,영업,,,,,,87.65,133-824,서울특별시 성동구 성수동1가 668-24,"서울특별시 성동구 서울숲4길 23, 1층 (성수동1가)",4768.0,사길이삼,2023-03-06 11:40,U,08:00.0,한식
3030000,3030000-101-2023-00020,2023-01-10,,1,영업/정상,1,영업,,,,,,63.44,133-923,서울특별시 성동구 성수동1가 705 성수동우방아파트,"서울특별시 성동구 상원길 77, 성수동우방아파트 생활편익시설동 1층 101호 (성수동1가)",4788.0,주식회사 리프레쉬먼트,2023-04-27 17:31,U,09:00.0,기타
3030000,3030000-101-2023-00023,2023-01-12,,1,영업/정상,1,영업,,,,,262139285,194.48,133-825,서울특별시 성동구 성수동1가 685-507,"서울특별시 성동구 서울숲2길 12-7, 1층, 3층 (성수동1가)",4768.0,플래드 카페,2023-06-23 18:30,U,05:00.0,기타
3030000,3030000-101-2023-00022,2023-01-12,,3,폐업,2,폐업,2023-08-23,,,,,31.25,133-833,서울특별시 성동구 성수동2가 299-104,"서울특별시 성동구 광나루로4길 8-1, 1층 (성수동2가)",4792.0,아는커피,2023-08-23 15:51,U,05:00.0,기타
3030000,3030000-101-2023-00027,2023-01-19,,1,영업/정상,1,영업,,,,,,341.25,133-832,서울특별시 성동구 성수동2가 277-46,"서울특별시 성동구 성수이로24길 36, 2층 (성수동2가)",4798.0,오우드 성수2호점,2023-12-01 14:33,U,03:00.0,기타
3030000,3030000-101-2023-00034,2023-01-30,,1,영업/정상,1,영업,,,,,02  511 9451,244.82,133-819,서울특별시 성동구 성수동1가 22-25,"서울특별시 성동구 상원1길 5, 1층, 2층 201호 (성수동1가)",4779.0,브레디 포스트 성수,2023-09-11 11:38,U,03:00.0,기타
3030000,3030000-101-2023-00033,2023-01-30,,3,폐업,2,폐업,2023-02-14,,,,,115.2,133-831,서울특별시 성동구 성수동2가 272-34 삼일수성코팅,"서울특별시 성동구 성수이로18길 32, 1층 (성수동2가)",4787.0,피디삐(PDBB),2023-02-14 10:29,U,06:00.0,기타
3030000,3030000-104-2023-00017,2023-01-30,,3,폐업,2,폐업,2023-02-23,,,,,36.0,133-835,서울특별시 성동구 성수동2가 302-36,"서울특별시 성동구 연무장길 17, 1층 (성수동2가)",4782.0,밀키샵 성수 Milkyshop seongsu,2023-02-23 10:45,U,05:00.0,기타 휴게음식점
3030000,3030000-101-2023-00036,2023-01-31,,1,영업/정상,1,영업,,,,,,30.3,133-822,서울특별시 성동구 성수동1가 13-78,"서울특별시 성동구 상원10나길 23, 1층 (성수동1가)",4791.0,멜드 샌드위치샵(MELD Sandwichshop),2023-03-27 11:52,U,09:00.0,기타
3030000,3030000-101-2023-00037,2023-01-31,,1,영업/정상,1,영업,,,,,,38.08,133-819,서울특별시 성동구 성수동1가 72-98,"서울특별시 성동구 뚝섬로 341-18, 3층 (성수동1가)",4780.0,렌게,2023-01-31 14:07,I,02:00.0,기타
3030000,3030000-104-2023-00019,2023-01-31,,1,영업/정상,1,영업,,,,,02  511 8610,58.59,133-835,서울특별시 성동구 성수동2가 301-12,"서울특별시 성동구 연무장3길 9-14, 지1층 (성수동2가)",4782.0,키쿠키앤커피 성수,2023-01-31 11:37,I,02:00.0,커피숍
3030000,3030000-101-2023-00039,2023-02-01,,3,폐업,2,폐업,2023-06-27,,,,,83.44,133-828,서울특별시 성동구 성수동2가 512,"서울특별시 성동구 성수이로3길 16, 1층 (성수동2가)",4775.0,번번(Bunn Bunn),2023-06-27 13:25,U,09:00.0,기타
3030000,3030000-101-2023-00041,2023-02-02,,1,영업/정상,1,영업,,,,,,57.2,133-826,서울특별시 성동구 성수동2가 269-63 성수에이원 지식산업센터,"서울특별시 성동구 뚝섬로17가길 48, 성수에이원 지식산업센터 1층 102호 (성수동2가)",4785.0,지티에스버거 성수,2023-02-02 9:53,I,04:00.0,경양식
3030000,3030000-101-2023-00043,2023-02-06,,3,폐업,2,폐업,2023-03-27,,,,,28.52,133-828,서울특별시 성동구 성수동2가 336-2 성동상가아파트,"서울특별시 성동구 성덕정15길 12, 1층 북8호 (성수동2가, 성동상가아파트)",4775.0,바베큐구이,2023-03-27 16:50,U,09:00.0,기타
3030000,3030000-101-2023-00051,2023-02-07,,1,영업/정상,1,영업,,,,,,60.48,133-824,서울특별시 성동구 성수동1가 668-63,"서울특별시 성동구 서울숲4길 20-1, 1층 (성수동1가)",4768.0,픽픽,2023-02-07 13:43,I,09:00.0,기타
3030000,3030000-101-2023-00049,2023-02-07,,1,영업/정상,1,영업,,,,,,34.85,133-832,서울특별시 성동구 성수동2가 280-6 생각공장데시앙플렉스,"서울특별시 성동구 아차산로17길 49, 생각공장데시앙플렉스 1층 R121호 (성수동2가)",4799.0,조선팩토리 성수,2023-02-07 10:20,I,09:00.0,기타
3030000,3030000-101-2023-00048,2023-02-07,,1,영업/정상,1,영업,,,,,,54.01,133-924,서울특별시 성동구 성수동1가 656-1015,"서울특별시 성동구 상원1길 35-22, 2층 (성수동1가)",4778.0,소코아 뚝섬점,2023-02-07 9:25,I,09:00.0,기타
3030000,3030000-101-2023-00047,2023-02-07,,1,영업/정상,1,영업,,,,,070 48335896,56.43,133-823,서울특별시 성동구 성수동1가 656-483,"서울특별시 성동구 왕십리로10길 8, 1층 (성수동1가)",4778.0,위스탠드,2023-02-07 9:09,I,09:00.0,기타
3030000,3030000-101-2023-00052,2023-02-08,,1,영업/정상,1,영업,,,,,,98,133-835,서울특별시 성동구 성수동2가 301-88,"서울특별시 성동구 연무장길 13, 2층 201호 (성수동2가)",4782.0,다겸테이블,2023-02-08 12:11,I,00:00.0,한식
3030000,3030000-101-2023-00053,2023-02-08,,1,영업/정상,1,영업,,,,,,82,133-835,서울특별시 성동구 성수동2가 315-52,"서울특별시 성동구 연무장7가길 2, 2층 (성수동2가)",4782.0,대취,2023-02-08 14:12,I,00:00.0,기타
3030000,3030000-104-2023-00023,2023-02-09,,1,영업/정상,1,영업,,,,,,37.0,133-924,서울특별시 성동구 성수동1가 656-1097,"서울특별시 성동구 상원1길 13, 1층 (성수동1가)",4779.0,후후베이크,2023-02-09 14:51,I,01:00.0,기타 휴게음식점
3030000,3030000-104-2023-00024,2023-02-10,,1,영업/정상,1,영업,,,,,,109.57,133-832,서울특별시 성동구 성수동2가 277-118 shenb빌딩,"서울특별시 성동구 성수이로 148, shenb빌딩 1층 (성수동2가)",4796.0,선아커피,2023-02-10 10:24,I,02:00.0,커피숍
3030000,3030000-101-2023-00056,2023-02-10,,3,폐업,2,폐업,2023-08-29,,,,,28,133-820,서울특별시 성동구 성수동1가 142-3,"서울특별시 성동구 성덕정길 32, 1층 (성수동1가)",4774.0,파인딩유어셀프,2023-08-29 14:39,U,01:00.0,기타
3030000,3030000-101-2023-00055,2023-02-10,,1,영업/정상,1,영업,,,,,,59.31,133-822,서울특별시 성동구 성수동1가 14-44,"서울특별시 성동구 상원2길 1-10, 1층 (성수동1가)",4779.0,용이네 뚝섬역점,2023-02-13 16:24,U,05:00.0,분식
3030000,3030000-101-2023-00059,2023-02-13,,1,영업/정상,1,영업,,,,,,97.4,133-924,서울특별시 성동구 성수동1가 656-882 더 스페이스 타워,"서울특별시 성동구 광나루로 144, 더 스페이스 타워 1층 111호 (성수동1가)",4788.0,조양식당,2023-02-13 10:10,I,05:00.0,한식
3030000,3030000-101-2023-00060,2023-02-14,,1,영업/정상,1,영업,,,,,,35.14,133-825,서울특별시 성동구 성수동1가 685-201 성수상가,"서울특별시 성동구 왕십리로5길 19, 성수상가 1층 4호 (성수동1가)",4768.0,에빠(Etba),2023-02-14 13:51,I,06:00.0,기타
3030000,3030000-101-2023-00063,2023-02-15,,1,영업/정상,1,영업,,,,,,171.52,133-823,서울특별시 성동구 성수동1가 656-98,"서울특별시 성동구 성수일로 9, 지1층 (성수동1가)",4779.0,중앙가속기,2023-02-15 16:49,I,07:00.0,기타
3030000,3030000-101-2023-00062,2023-02-15,,1,영업/정상,1,영업,,,,,,335.98,133-834,서울특별시 성동구 성수동2가 289-257,"서울특별시 성동구 성수일로8길 55, 1층 (성수동2가)",4794.0,조조칼국수 성수점,2023-02-15 16:11,I,07:00.0,한식
3030000,3030000-101-2023-00061,2023-02-15,,1,영업/정상,1,영업,,,,,070 47381661,120.5,133-827,서울특별시 성동구 성수동2가 310-64,"서울특별시 성동구 연무장길 38, 1층 (성수동2가)",4781.0,(주)더기프팅컴퍼니,2023-02-15 14:29,I,07:00.0,기타
3030000,3030000-101-2023-00064,2023-02-16,,1,영업/정상,1,영업,,,,,,88.08,133-827,서울특별시 성동구 성수동2가 331-27,"서울특별시 성동구 뚝섬로 408-7, 3층 302호 (성수동2가)",4776.0,오푸,2023-02-16 12:02,I,08:00.0,기타
3030000,3030000-101-2023-00065,2023-02-16,,1,영업/정상,1,영업,,,,,,115,133-831,서울특별시 성동구 성수동2가 272-34 삼일수성코팅,"서울특별시 성동구 성수이로18길 32, 1층 (성수동2가)",4787.0,피디삐(PDBB),2023-02-16 17:18,I,08:00.0,기타
3030000,3030000-101-2023-00066,2023-02-17,,1,영업/정상,1,영업,,,,,,135,133-823,서울특별시 성동구 성수동1가 656-297 신한빌딩,"서울특별시 성동구 왕십리로 114, 지1층 101호 (성수동1가)",4778.0,씩씩,2023-02-17 10:26,I,09:00.0,기타
3030000,3030000-101-2023-00068,2023-02-17,,1,영업/정상,1,영업,,,,,,25.62,133-825,서울특별시 성동구 성수동1가 676-9 현대아파트,"서울특별시 성동구 서울숲길 36, 현대아파트 상가동 지1층 1호 (성수동1가)",4768.0,이아래,2023-02-17 12:25,I,09:00.0,기타
3030000,3030000-101-2023-00069,2023-02-17,,1,영업/정상,1,영업,,,,,,60,133-924,서울특별시 성동구 성수동1가 656-1028,"서울특별시 성동구 뚝섬로1길 53-1, 지1층 (성수동1가)",4778.0,컴포트라피,2023-08-17 12:49,U,09:00.0,기타
3030000,3030000-101-2023-00070,2023-02-17,,1,영업/정상,1,영업,,,,,,113.58,133-826,서울특별시 성동구 성수동2가 250-1,"서울특별시 성동구 동일로 75-18, 1층, 2층 (성수동2가)",4786.0,엘로코(EL LOCO),2023-12-08 10:09,U,00:00.0,기타
3030000,3030000-101-2023-00071,2023-02-20,,1,영업/정상,1,영업,,,,,,55,133-823,서울특별시 성동구 성수동1가 656-469,"서울특별시 성동구 왕십리로 66-45, 1층 (성수동1가)",4778.0,효 퍼맨트랩,2023-02-20 16:27,I,02:00.0,기타
3030000,3030000-101-2023-00072,2023-02-20,,1,영업/정상,1,영업,,,,,,26.44,133-820,서울특별시 성동구 성수동1가 237-2 동구밭,"서울특별시 성동구 성덕정길 56, 동구밭 1층 (성수동1가)",4775.0,스태거,2023-02-20 12:58,I,02:00.0,기타
3030000,3030000-101-2023-00074,2023-02-21,,1,영업/정상,1,영업,,,,,,53.24,133-823,서울특별시 성동구 성수동1가 656-625,"서울특별시 성동구 왕십리로4길 10-9, 지1층 (성수동1가)",4778.0,밤토리,2023-02-21 17:26,I,03:00.0,기타
3030000,3030000-101-2023-00078,2023-02-22,,1,영업/정상,1,영업,,,,,,25.83,133-828,서울특별시 성동구 성수동2가 565-17,"서울특별시 성동구 성덕정17길 7, 1층 (성수동2가)",4776.0,사계,2023-02-22 17:20,I,04:00.0,기타
3030000,3030000-101-2023-00077,2023-02-22,,1,영업/정상,1,영업,,,,,,62.9,133-835,서울특별시 성동구 성수동2가 316-47,"서울특별시 성동구 연무장길 37-18, 지1층 (성수동2가)",4782.0,오일성수,2023-02-22 12:41,I,04:00.0,기타
3030000,3030000-104-2023-00028,2023-02-23,,1,영업/정상,1,영업,,,,,221748312,12.0,133-835,서울특별시 성동구 성수동2가 317-2,"서울특별시 성동구 연무장11길 19, 1층 (성수동2가)",4783.0,스탠드오일 성수 플래그십스토어,2023-02-23 10:31,I,05:00.0,기타 휴게음식점
3030000,3030000-101-2023-00082,2023-02-23,,1,영업/정상,1,영업,,,,,,71.6,133-826,서울특별시 성동구 성수동2가 210-10,"서울특별시 성동구 동일로 29, 1층 (성수동2가)",4777.0,사운드 키친,2023-02-23 17:32,I,05:00.0,경양식
3030000,3030000-101-2023-00079,2023-02-23,,1,영업/정상,1,영업,,,,,,36,133-835,서울특별시 성동구 성수동2가 302-36,"서울특별시 성동구 연무장길 17, 1층 (성수동2가)",4782.0,미니탕후루,2023-10-19 11:03,U,01:00.0,기타
3030000,3030000-104-2023-00030,2023-02-24,,1,영업/정상,1,영업,,,,,,13.66,133-828,서울특별시 성동구 성수동2가 517-6,"서울특별시 성동구 성수이로3길 10-1, 1층 (성수동2가)",4775.0,성수한옥,2023-02-24 15:59,I,06:00.0,커피숍
3030000,3030000-104-2023-00029,2023-02-24,,1,영업/정상,1,영업,,,,,,59.92,133-832,서울특별시 성동구 성수동2가 280 성수 SK V1 CENTER I,"서울특별시 성동구 아차산로17길 48, 성수 SK V1 CENTER I 1층 R118호, R119호 (성수동2가)",4799.0,티더블유지티(TWG Tea),2023-02-24 15:07,I,06:00.0,기타 휴게음식점
3030000,3030000-101-2023-00084,2023-02-24,,1,영업/정상,1,영업,,,,,02  512 1533,26,133-832,서울특별시 성동구 성수동2가 277-151,"서울특별시 성동구 성수이로22길 51-1, 1층 (성수동2가)",4798.0,슈퍼파인 스토어,2023-02-24 13:01,I,06:00.0,기타
3030000,3030000-101-2023-00083,2023-02-24,,1,영업/정상,1,영업,,,,,,55.38,133-835,서울특별시 성동구 성수동2가 316-47,"서울특별시 성동구 연무장길 37-18, 3층 (성수동2가)",4782.0,리호(LEE.HO),2023-03-17 15:56,U,09:00.0,기타
3030000,3030000-101-2023-00085,2023-02-24,,1,영업/정상,1,영업,,,,,,133.64,133-832,서울특별시 성동구 성수동2가 280 성수 SK V1 CENTER I,"서울특별시 성동구 아차산로17길 48, 성수 SK V1 CENTER I 1층 R120호, R121호, R122호 (성수동2가)",4799.0,티더블유지티(TWG Tea),2023-02-24 14:54,I,06:00.0,기타
3030000,3030000-104-2023-00031,2023-02-27,,1,영업/정상,1,영업,,,,,,41.0,133-924,서울특별시 성동구 성수동1가 656-1017,"서울특별시 성동구 왕십리로8길 21-1, 지1층 (성수동1가)",4778.0,엑시트 서울(EXIT SEOUL),2023-02-27 16:00,I,01:00.0,기타 휴게음식점
3030000,3030000-101-2023-00086,2023-02-27,,1,영업/정상,1,영업,,,,,,46.9,133-823,서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어,"서울특별시 성동구 왕십리로 50, 메가박스 스퀘어 지1층 (성수동1가)",4778.0,요고프로즌요거트 서울숲점,2023-02-27 12:25,I,01:00.0,기타
3030000,3030000-121-2023-00003,2023-03-02,,1,영업/정상,1,영업,,,,,,27.0,133-827,서울특별시 성동구 성수동2가 328-13,"서울특별시 성동구 뚝섬로9길 16, 2층 302호 (성수동2가)",4784.0,디데이크(Ddayke),2023-03-02 11:08,I,04:00.0,제과점영업
3030000,3030000-104-2023-00033,2023-03-02,,1,영업/정상,1,영업,,,,,,3.2,133-827,서울특별시 성동구 성수동2가 308-4 서울숲코오롱디지털타워,"서울특별시 성동구 성수일로4길 25, 서울숲코오롱디지털타워 1층 110호 (성수동2가)",4781.0,세븐일레븐 디지털타워점,2023-03-02 12:44,I,04:00.0,편의점
3030000,3030000-101-2023-00090,2023-03-03,,1,영업/정상,1,영업,,,,,,929.26,133-832,서울특별시 성동구 성수동2가 277-47,"서울특별시 성동구 아차산로13길 11, 지1층 (성수동2가)",4797.0,씨제이프레시웨이(주) 무신사점 카페테리아 모락모락,2023-03-03 14:42,I,05:00.0,한식
3030000,3030000-101-2023-00089,2023-03-03,,1,영업/정상,1,영업,,,,,,108.1,133-819,서울특별시 성동구 성수동1가 33-93,"서울특별시 성동구 뚝섬로 356, 1층 (성수동1가)",4774.0,너츠비어,2023-04-05 10:42,U,07:00.0,기타
3030000,3030000-101-2023-00091,2023-03-03,,1,영업/정상,1,영업,,,,,,69,133-831,서울특별시 성동구 성수동2가 272-1,"서울특별시 성동구 연무장17길 7, 1층 (성수동2가)",4787.0,죠죠,2023-11-28 11:21,U,00:00.0,일식
3030000,3030000-101-2023-00093,2023-03-06,,1,영업/정상,1,영업,,,,,,13.2,133-823,서울특별시 성동구 성수동1가 656-609,"서울특별시 성동구 광나루로 152, 1층 (성수동1가)",4788.0,냠,2023-03-06 12:37,I,08:00.0,"외국음식전문점(인도,태국등)"
3030000,3030000-101-2023-00094,2023-03-06,,1,영업/정상,1,영업,,,,,,178.98,133-825,서울특별시 성동구 성수동1가 685-482,"서울특별시 성동구 서울숲2길 24-7, 1, 2층 (성수동1가)",4768.0,마야마야,2023-03-06 16:03,I,08:00.0,기타
3030000,3030000-121-2023-00004,2023-03-06,,1,영업/정상,1,영업,,,,,,56.0,133-824,서울특별시 성동구 성수동1가 668-17,"서울특별시 성동구 서울숲6길 16-1, 1층 (성수동1가)",4768.0,Bontemps(봉땅),2023-03-06 16:46,I,08:00.0,제과점영업
3030000,3030000-101-2023-00095,2023-03-07,,1,영업/정상,1,영업,,,,,,63.6,133-822,서울특별시 성동구 성수동1가 14-44,"서울특별시 성동구 상원2길 1-10, 2층 (성수동1가)",4779.0,무색,2023-03-07 12:13,I,09:00.0,일식
3030000,3030000-101-2023-00097,2023-03-07,,1,영업/정상,1,영업,,,,,,49.21,133-830,서울특별시 성동구 성수동2가 762-1,"서울특별시 성동구 성수이로 8, 1층 (성수동2가)",4776.0,글랫 도로시,2023-03-07 14:37,I,09:00.0,기타
3030000,3030000-104-2023-00034,2023-03-07,,3,폐업,2,폐업,2023-03-23,,,,,40.0,133-825,서울특별시 성동구 성수동1가 685-696 갤러리아 포레,"서울특별시 성동구 서울숲2길 32-14, 지2층 (성수동1가, 갤러리아 포레)",4769.0,커피크루,2023-03-24 4:15,U,06:00.0,커피숍
3030000,3030000-101-2023-00100,2023-03-09,,1,영업/정상,1,영업,,,,,,148.68,133-825,서울특별시 성동구 성수동1가 685-449,"서울특별시 성동구 서울숲2길 20-12, 지1층,1층,2층 (성수동1가)",4768.0,포레스트(forest),2023-03-23 17:42,U,05:00.0,기타
3030000,3030000-101-2023-00099,2023-03-09,,1,영업/정상,1,영업,,,,,,92.88,133-827,서울특별시 성동구 성수동2가 310-53,"서울특별시 성동구 연무장길 28-12, 1층 (성수동2가)",4781.0,서울브루어리 성수 카페,2023-03-09 9:42,I,01:00.0,기타
3030000,3030000-101-2023-00102,2023-03-10,,1,영업/정상,1,영업,,,,,,77.8,133-823,서울특별시 성동구 성수동1가 656-335 메가박스 스퀘어,"서울특별시 성동구 왕십리로 50, 메가박스 스퀘어 2층 (성수동1가)",4778.0,봉밀가,2023-03-10 17:29,I,02:00.0,한식
3030000,3030000-101-2023-00103,2023-03-13,,1,영업/정상,1,영업,,,,,,50,133-824,서울특별시 성동구 성수동1가 668-77,"서울특별시 성동구 서울숲4길 16-9, 지1층 (성수동1가)",4768.0,아트태그하우스,2023-03-13 17:40,I,05:00.0,기타
3030000,3030000-101-2023-00104,2023-03-13,,1,영업/정상,1,영업,,,,,,90,133-824,서울특별시 성동구 성수동1가 668-54,"서울특별시 성동구 서울숲4길 26-10, 2층 (성수동1가)",4768.0,요쇼쿠 성수,2023-11-01 11:25,U,03:00.0,일식
3030000,3030000-101-2023-00106,2023-03-14,,1,영업/정상,1,영업,,,,,,58.29,133-835,서울특별시 성동구 성수동2가 301-12,"서울특별시 성동구 연무장3길 9-14, 2층 (성수동2가)",4782.0,이와자루,2023-03-14 11:47,I,06:00.0,기타
3030000,3030000-101-2023-00105,2023-03-14,,1,영업/정상,1,영업,,,,,,102,133-832,서울특별시 성동구 성수동2가 279-50 성수1차 대우아파트,"서울특별시 성동구 동일로 143, 1층 121호, 123호, 124호 (성수동2가, 성수1차 대우아파트)",4799.0,해담,2023-03-14 9:41,I,06:00.0,한식
3030000,3030000-104-2023-00036,2023-03-16,,1,영업/정상,1,영업,,,,,,95.0,133-823,서울특별시 성동구 성수동1가 656-591 서울숲A타워,"서울특별시 성동구 상원1길 26, 서울숲A타워 1층 104호, 105호 (성수동1가)",4779.0,아이에떼 커피 성수점(Ae ete coffee),2023-03-16 14:58,I,08:00.0,커피숍
3030000,3030000-121-2023-00006,2023-03-17,,1,영업/정상,1,영업,,,,,,164.48,133-832,서울특별시 성동구 성수동2가 280-23,"서울특별시 성동구 아차산로13길 42, 1층 (성수동2가)",4799.0,에이테이블,2023-03-17 17:02,I,09:00.0,제과점영업
3030000,3030000-104-2023-00038,2023-03-17,,1,영업/정상,1,영업,,,,,,16.5,133-823,서울특별시 성동구 성수동1가 656-98,"서울특별시 성동구 성수일로 9, 1층 (성수동1가)",4779.0,요커(yo.kr) 서울숲점,2023-03-17 13:33,I,09:00.0,커피숍
3030000,3030000-101-2023-00110,2023-03-20,,1,영업/정상,1,영업,,,,,,40.13,133-822,서울특별시 성동구 성수동1가 13-207 서울숲AK밸리 지식산업센터,"서울특별시 성동구 성수일로 99, 서울숲AK밸리 지식산업센터 1층 107호 (성수동1가)",4790.0,아로바스(arroba's),2023-03-20 10:30,I,02:00.0,한식
3030000,3030000-101-2023-00115,2023-03-21,,1,영업/정상,1,영업,,,,,,80,133-827,서울특별시 성동구 성수동2가 333-140 서울숲코오롱디지탈타워,"서울특별시 성동구 성수이로7길 27, 서울숲코오롱디지탈타워 1층 106-A1호 (성수동2가)",4780.0,보배반점,2023-03-21 15:21,I,03:00.0,중국식
3030000,3030000-101-2023-00116,2023-03-22,,1,영업/정상,1,영업,,,,,,45,133-820,서울특별시 성동구 성수동1가 305 선출빌딩,"서울특별시 성동구 성덕정길 63, 선출빌딩 1층 3호 (성수동1가)",4775.0,맷돌,2023-03-22 11:55,I,04:00.0,경양식
3030000,3030000-101-2023-00119,2023-03-23,,1,영업/정상,1,영업,,,,,,45,133-827,서울특별시 성동구 성수동2가 331-56,"서울특별시 성동구 뚝섬로7길 6, 1층 (성수동2가)",4784.0,키키,2023-10-31 9:36,U,02:00.0,"외국음식전문점(인도,태국등)"
3030000,3030000-104-2023-00039,2023-03-23,,1,영업/정상,1,영업,,,,,,17.64,133-727,서울특별시 성동구 성수동2가 277-37 성원상떼뷰오피스텔,"서울특별시 성동구 아차산로15길 10, 성원상떼뷰오피스텔 1층 116호 (성수동2가)",4798.0,매머드익스프레스 성수성원점,2023-03-23 9:51,I,05:00.0,커피숍
3030000,3030000-101-2023-00121,2023-03-23,,1,영업/정상,1,영업,,,,,,26.61,133-822,서울특별시 성동구 성수동1가 13-202 선일빌딩,"서울특별시 성동구 성수일로11길 8, 선일빌딩 1층 101호 (성수동1가)",4790.0,마아트(MAAT)커피브루어스,2023-03-23 10:53,I,05:00.0,기타
3030000,3030000-101-2023-00123,2023-03-24,,1,영업/정상,1,영업,,,,,24653251,195.95,133-822,서울특별시 성동구 성수동1가 13-469 해솜빌딩,"서울특별시 성동구 상원4길 11, 해솜빌딩 2층 (성수동1가)",4790.0,백억하누 성수본점,2023-03-24 10:20,I,06:00.0,한식
3030000,3030000-101-2023-00130,2023-03-27,,1,영업/정상,1,영업,,,,,,70.78,133-825,서울특별시 성동구 성수동1가 685-509,"서울특별시 성동구 서울숲2길 14-8, 2층 (성수동1가)",4768.0,온류,2023-03-27 17:36,I,09:00.0,기타
3030000,3030000-101-2023-00129,2023-03-27,,1,영업/정상,1,영업,,,,,,60.6,133-835,서울특별시 성동구 성수동2가 316-22,"서울특별시 성동구 연무장길 41-26, 2층 (성수동2가)",4782.0,금손,2023-03-27 17:07,I,09:00.0,기타
3030000,3030000-101-2023-00131,2023-03-29,,1,영업/정상,1,영업,,,,,,76.8,133-835,서울특별시 성동구 성수동2가 315-61 성수역 SK V1 Tower,"서울특별시 성동구 연무장5가길 25, 성수역 SK V1 Tower 1층 105호, 106호 (성수동2가)",4782.0,리파인 성수점,2023-03-29 12:44,I,01:00.0,한식
3030000,3030000-101-2023-00134,2023-03-29,,1,영업/정상,1,영업,,,,,,209.07,133-835,서울특별시 성동구 성수동2가 317-5 호텔포코(HOTEL POCO),"서울특별시 성동구 성수이로 96, 호텔포코(HOTEL POCO) 2층 (성수동2가)",4783.0,노비아 에 노비오,2023-03-29 15:51,I,01:00.0,경양식
3030000,3030000-101-2023-00135,2023-03-29,,3,폐업,2,폐업,2024-01-02,,,,02  512 5945,150,133-831,서울특별시 성동구 성수동2가 275-12,"서울특별시 성동구 연무장길 114, 가동 1층 (성수동2가)",4786.0,테이스트앤드테이스트 성수 플래그십,2024-01-02 13:22,U,04:00.0,기타
3030000,3030000-101-2023-00133,2023-03-29,,1,영업/정상,1,영업,,,,,,43.71,133-828,서울특별시 성동구 성수동2가 339-70,"서울특별시 성동구 성덕정11길 20, 1층 (성수동2가)",4775.0,행복한 칼국수,2023-03-29 13:51,I,01:00.0,한식
3030000,3030000-101-2023-00136,2023-03-30,,1,영업/정상,1,영업,,,,,,191.08,133-822,서울특별시 성동구 성수동1가 13-190,"서울특별시 성동구 성수일로 87, 1층, 2층 (성수동1가)",4790.0,압구정 수산시장,2023-03-30 13:37,I,01:00.0,기타
3030000,3030000-101-2023-00140,2023-03-31,,1,영업/정상,1,영업,,,,,,54.9,133-835,서울특별시 성동구 성수동2가 316-31,"서울특별시 성동구 연무장길 41-19, 지1층 B101호 (성수동2가)",4782.0,아가젤라또(성수),2023-03-31 11:17,I,02:00.0,기타
3030000,3030000-101-2023-00142,2023-03-31,,1,영업/정상,1,영업,,,,,,15,133-819,서울특별시 성동구 성수동1가 278-4,"서울특별시 성동구 성덕정9가길 14, 1층 (성수동1가)",4775.0,위트 에스프레소바,2023-03-31 16:09,I,02:00.0,기타
3030000,3030000-101-2023-00141,2023-03-31,,1,영업/정상,1,영업,,,,,,96.36,133-831,서울특별시 성동구 성수동2가 273-13 태광산업,"서울특별시 성동구 연무장15길 11, 태광산업 가(C)동 2층 C202호 (성수동2가)",4783.0,옥자 성수,2023-04-26 17:46,U,08:00.0,기타
3030000,3030000-101-2023-00147,2023-04-04,,1,영업/정상,1,영업,,,,,24982427,22.91,133-828,서울특별시 성동구 성수동2가 335-81,"서울특별시 성동구 성덕정15길 6-32, 1층 (성수동2가)",4775.0,행복곱창,2023-04-04 16:01,I,06:00.0,한식
3030000,3030000-104-2023-00046,2023-04-06,,1,영업/정상,1,영업,,,,,,31.84,133-835,서울특별시 성동구 성수동2가 301-51 성수동BY센터,"서울특별시 성동구 성수일로 56, 성수동BY센터 1층 103호,104호 (성수동2가)",4782.0,베키아누보 TK 성수점(vecchia&nuovo TK 성수점),2023-12-21 16:41,U,03:00.0,패스트푸드
3030000,3030000-101-2023-00150,2023-04-07,,1,영업/정상,1,영업,,,,,,30,133-924,서울특별시 성동구 성수동1가 656-987,"서울특별시 성동구 왕십리로8길 19-6, 1층 (성수동1가)",4778.0,경주이씨,2023-04-07 14:44,I,09:00.0,한식
3030000,3030000-101-2023-00151,2023-04-10,,1,영업/정상,1,영업,,,,,02  499 2220,116.4,133-822,서울특별시 성동구 성수동1가 13-135,"서울특별시 성동구 상원길 52, 2층 (성수동1가)",4790.0,(주)투카츠,2023-04-10 10:20,I,02:00.0,기타
3030000,3030000-101-2023-00154,2023-04-11,,1,영업/정상,1,영업,,,,,,181.4,133-831,서울특별시 성동구 성수동2가 273-19 아이템플,"서울특별시 성동구 연무장13길 9, 아이템플 1층 (성수동2가)",4783.0,구테로이테 베이커리카페 성수,2023-04-11 12:25,I,03:00.0,기타
